STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
MI,2017,9.399999619,4.900000095,9.100000381,4.900000095,5.699999809,5.599999905
MN,2017,8.5,6.5,7.900000095,5.199999809,6.900000095,6.5
MO,2017,9.100000381,5,9,5.099999905,6.900000095,6.300000191
MS,2017,7.599999905,5.5,9,5.099999905,5.699999809,6
MT,2017,8.5,5.5,8.399999619,4,6,6
NC,2017,8,5.300000191,9.600000381,4.699999809,6.400000095,7.199999809
ND,2017,8.5,6.5,8.699999809,4.800000191,5.599999905,5.900000095
NE,2017,8.800000191,5.800000191,9.100000381,4.699999809,6.900000095,6.599999905
NH,2017,8.5,4.900000095,8.800000191,6,6.400000095,7.300000191
NJ,2017,7.699999809,5.599999905,8.199999809,5.400000095,5.800000191,6.800000191
NM,2017,8.699999809,4.099999905,8.800000191,4.199999809,5.099999905,6.300000191
NV,2017,8.5,4.5,8,3.400000095,4,6.699999809
NY,2017,9.100000381,5.900000095,8.399999619,5.099999905,6.099999905,7.400000095
OH,2017,6.699999809,5.199999809,8.5,4.599999905,6.099999905,5.800000191
OK,2017,7.5,5.5,7.599999905,4.900000095,6,5.900000095
OR,2017,8.399999619,6,7.900000095,4.699999809,5.900000095,7.699999809
PA,2017,8.300000191,5.099999905,9,5.400000095,6.599999905,6.599999905
RI,2017,7,6.800000191,9,5.800000191,7.300000191,6.099999905
SC,2017,7.800000191,4,9.600000381,5.5,6.400000095,6.900000095
SD,2017,8.199999809,4.300000191,8.199999809,4.599999905,7.400000095,5.300000191
TN,2017,8.800000191,5,9.300000191,4.199999809,5.800000191,6.400000095
TX,2017,8.399999619,5.099999905,8.699999809,4.699999809,5.699999809,7.400000095
UT,2017,8.300000191,6.099999905,9.699999809,5.300000191,5.099999905,6.400000095
VA,2017,9.600000381,5.800000191,9.699999809,5.900000095,5.5,7.800000191
VT,2017,9.399999619,6.599999905,8.800000191,5.699999809,5.599999905,7.099999905
WA,2017,8.399999619,5.599999905,8.399999619,4,5.5,7.699999809
WI,2017,8.899999619,5.199999809,9,5.199999809,6.699999809,7.5
WV,2017,7.099999905,5,7.599999905,5,7.199999809,5.199999809
WY,2017,7.699999809,4.400000095,7.800000191,4.800000191,5,5.199999809
AK,2018,8.899999619,4.400000095,7.800000191,3.599999905,3.5,6.199999809
AL,2018,8.199999809,5.099999905,8.5,5.099999905,5.400000095,6.699999809
AR,2018,8.300000191,5.199999809,8.800000191,4.599999905,6.400000095,6.599999905
AZ,2018,8.199999809,5.099999905,9.600000381,3.900000095,4.900000095,7.199999809
CA,2018,8,5.199999809,9,3.900000095,4.5,8
